Artist,Song,Lyrics,Dialect
 jamila, blach blach,"3ady jay w tsnany 3qlu rayi7 liljunun
Wayaqul dabbat tatrjani hadana ally 3mrw aykun
Ghady naquluha w bila m3ani 'inna nasit nataya shukun
Bila bik galbi 3sh hani la la tuziduni hum alkuun




 
W blach blach
Darti li suda3 alras
Tabat 3lya eisas
Shahdu ya nas

Wablach blach
Tah alfas 3 alras
Darti lia wasawas
Shahdu ya nas

Ya alli dart ma3ak alniat tasnit habk yazid
Ghdratayni la3bati baya 3umurik talaqqa hubb judabad
Rabbi 3alam bik wabia f alshshaddat nulqak ba3id
Ma 'ana layk ma 'ant lya 'ahsan lifiraq yufid
Wataqul baqaa alkalimat 3alaa mawqie aismaeiha





Blach
Darti li suda3 alras
Tabat 3ulya eisas
Shahdu ya nas

Wablach blach
Tah alfas 3 alras
Darti lya wasawas
Shahdu ya nas

Blach








				",0
 jamila, damdouma,"seer f halek shof lak shi damdouma
ana ma sakna hda alhoma
dawer min zeen tilqa gher homa
seer f halek shof lak shi damdouma





enta ghir kilmini,
khmsa sitta minnak ma ikhawfoni
enta ghir klimini,
khmsa sitta fhlak ma ikhal3oni

seer f halek shof lak shi damdouma
ana ma sakna hda alhoma
dawer min zeen tilqa gher homa
seer f halek shof lak shi damdouma

toghdor beena ya ag3ad bdeena
wilham feena wbtridhina
lala tirja3 wiyroh aleena
yalla seer fhalek min mokayeena

enta ghir kilmini,
khmsa sitta minnak ma ikhawfoni
enta ghir klimini lalala,




khmsa sitta fhlak ma ikhal3oni

seer f halek shof lak shi damdouma
ana ma sakna hda alhoma
dawer min zeen tilqa gher homa
seer f halek shof lak shi damdouma

mazal ma3rof ali ya welo
ya ma nas hawlo ma3ya wittaho
wilgalb wilhob 3ndi slaho
witteer yenfa3lo gher jnaho

enta ghir klimini,
khmsa sitta fhlak ma ikhal3oni
enta ghir klimini lalala,
khmsa sitta fhlak ma ikhal3oni








				",0
 jamila, yegoulo yegoulo,"Kif absanek fi maghibak w 3andi qalb admen 3alik

Yegoulo Yegoulo
Min terik dare habibi,
Qal maqadare yaghali ela enta




Lazal qadark
3ali w balakhir dahkark
W enta fi bali yaghali kol wqat

Wallh ahebak ya hayati wanor 3iny ya rabbi 3al 3mar w ya kol alghalaa
Meshtaq lek mawat want lahs wala swat
Welwaleh ya 3mri shaq qalbi alwaleh w 3dahob la elyom hobek
Wqalbi lek la ma ghdrbk a 3shaq
Wetamina qarbek w kol ma fini yabik

ya aqarb min alaroh law taghib alsenin mesmoh
ghair hatha alhob la yamaken ahob
bein makanek 3alami naqs hanank wana sabr ya halo manek alt3ab
mnk wba alowfaha ana awfaha wahad wa 3jbak wqat alshdayid




law fi haldonia nataba 3d naltaqi balahadan wajik








				",0
 saad lamjarred, guli mata,"[Shreya Ghoshal]
Jagi hu, Na soi hu
Khayalon mein tere, khoi hu
Jagi hu, Na soi hu
Khayalon mein tere, khoi hu




 
[Saad Lamjarred]
Ah
Guli mata (mata) nshufk ana mata (mata)
3ayyani shu9 (shu9) naru hayja f galbi ay ay ay
Kindir ana nkhabbi 7ubbek ana?
7ali mefdu7, yana melli bia ay ay ay ay

[Shreya Ghoshal]
Izhaar hua, humey bhi pyaar hua
Mulaaqaat ki hai, ghadi ab ay ay ay
Neend me bhi, labo pe naam tera
Banke mai rahu, teri parchaai, ay ay ay ay

[Saad Lamjarred]
Khalitini bla bik mahmoum
Mu7al wash ba9i ghanfra7 fyum
Ash men denia ghadi fghyabek n3ish




Wakha nabghi nensak galbi mayebghich

[Shreya Ghoshal]
Tujhey mere liye, mujhey tere liye
Hai banaya gyaa, oh harjaai jayi-ay-ay ay

[Saad Lamjarred & Shreya Ghoshal]
(Guli, guli mata)
When? When? What time? When? When? (Ah)
When? When? (Ah) What time? (Ah) When? When? (Eh la la)
(Guli, guli mata)
When? When? What time? When? When? (Ah)
When? When? (Ah) What time? (Ah) When? When?(Ah)
What Time?

[Saad Lamjarred]
3ash9ek junun, wktar men eljunun




Ma nwit fyum, ghan3ish b7alu ay ay ay ay
Ya dat l3uyun ir7ami had l3uyun
Ma shaft num ghi lil w muwwalu wa ay ay ay ay

[Shreya Ghoshal]
Khushi khushi pehna, tera diya gehna
Kitna kangan jachay, dekh kalai, layi ay ay ay
Tujhey mere liye, mujhey tere liye
Hai banaya gyaa, oh harjaai jayi ay ay ay ay

[Saad Lamjarred]
Khalitini bla bik mahmoum
Mu7al wash ba9i ghanfra7 fyum
Ash men denia ghadi fghyabek n3ish
Wakha nabghi nensak galbi mayebghich

[Saad Lamjarred & Shreya Ghoshal]
Ah




Guli mata nshufk ana mata 3ayyani shu9
Naru hayja f galbi ay ay ay

Neend me bhi, labo pe naam tera
Banke mai rahu, teri parchaai, ay ay ay (Ah guli mata)

(Eh) teri parchaai, ay ay ay

[Saad Lamjarred & Shreya Ghoshal]
(Guli, guli mata)
When? When? What time? When? When? (Ah)
When? When? What time? (Ah) When? When?
(Guli, guli mata)
W-when? When? (Ah)
W-when? When? (Ah)
What time? (Ah) When? When?







",0
 saad lamjarred, lewjah tani,"Allahoma n'b3ad 3lik wala del 
Ghan télécharger Zoheir tani o netbedel 
T'negri kola dqiqa kola sa3a lil o sbah 
Hit n'ti meghnana o rasek men l'hjar qsah 





Allahoma n'b3ad 3lik wala del 
Ghan télécharger Saad tani o netbedel 
T'negri kola dqiqa kola sa3a lil o sbah 
Hit n'ti meghnana o rasek men l'hjar qsah 

Ahahayaya ghir n'sini 
Ahahayaya Lewjah tani 
Ahahayaya ghir siri 
Ahahayaya l'bhar kbir 

Ahahayaya kounti zin diali 
Ahahayaya daba lewjah tani 
Ahahayaya ghir siri 
Ahahayaya l'bhar kbir  

Dak lhob li kan zwin ga3 mabqa 
L'messajat b lil o teli l'zanqa 
Khalina ghir s'hab o n'sayni 




Mes'hi sowar li fato binek o bayni 

Dak lhob li kan mziwen ga3 mabqa 
L'messajat b lil o teli l'zanqa 
Khalina ghir s'hab o n'sayni 
Mes'hi sowar li fato binek o bayni 

Ahahayaya ghir n'sini
Ahahayaya Lewjah tani 
Ahahayaya ghir siri 
Ahahayaya l'bhar kbir  

Ahahayaya kounti zin diali 
Ahahayaya daba lewjah tani 
Ahahayaya ghir siri 
Ahahayaya l'bhar kbir 

L'hob m3ak m'rara 




Wel 3icha m3ak khssara 
Ma danitek ghadara 
B rabi manweli lik

L'hob m3ak m'rara 
Wel 3icha m3ak khssara 
Ma danitek ghadara 
B rabi manweli lik

Ahahayaya ghir n'sini
Ahahayaya Lewjah tani 
Ahahayaya ghir siri 
Ahahayaya l'bhar kbir  

Ahahayaya kounti zin diali 
Ahahayaya daba lewjah tani 
Ahahayaya 
Ahahayaya l'bhar kbir







",0
 saad lamjarred, enty,"(x3)
Enty baghya wa7ed
Y kon demmo bared
Saket, dima jamed
Tghalti, ma ydwich




Tla3b 3li el ashra
Ma y3awedch el hadra
Ykon rajel lemra, la la
Bezzaf 3la derwich

(x3)
Man liqch lik, mat liqi liya
Bezzaf 3lik w s3aib tla3bi biya
(Ana) Man liqch lik, mat liqi liya
Chkon li kdeb 3lik w galek baqi niya

Enty, enty, enty, (eh)
Enty, enty, enty, (eh)
Enty, enty, enty, (eh)
Enty, enty, (eh)
Enty baghya wa7ed
Y kon demmo bared
Saket, dima jamed




Tghalti, ma ydwich
Tla3b 3li el ashra
Ma y3awedch el hadra
Ykon rajel lemra, la la
Bezzaf 3la derwich

Ma bghach qalbik y fik, ma cheditich m3aya el treq
3omri fik men tiq, 7sen lik ba3d 3liya
Rah rabbi sob7ano khlaq kul wa7ed fimkano
3alamat el se3a bano ila t7akemti fiya

Enty baghya wa7ed
Y kon demmo bared
Saket, dima jamed
Tghalti, ma ydwich
Tla3b 3li el ashra
Ma y3awedch el hadra




Ykon rajel lemra, la la
Bezzaf 3la derwich

(x4)
(Ana) Man liqch lik, mat liqi liya
Bezzaf 3lik (w s3aib) tla3bi biya

Enty, enty, enty, (eh)
Enty, enty, enty, (eh)
Enty, enty, enty, (eh)
Enty, enty, (eh)
Enty baghya wa7ed
Y kon demmo bared
Saket, dima jamed
Tghalti, ma ydwich
Tla3b 3li el ashra
Ma y3awedch el hadra
Ykon rajel lemra, la la




Bezzaf 3la derwich

Enty baghya wa7ed
Y kon demmo bared
Saket, dima jamed
Tghalti, ma ydwich
Tla3b 3li el ashra
Ma y3awedch el hadra
Ykon rajel lemra, la la
Bezzaf 3la derwich







",0
 saad lamjarred, ensay,"Mayestahlouch akhouya, mayestahlouch
Ensahoum
Yalla

Mech hankamil, ana a'arif men el'awil




Mahma ntawil, ha tkoun akhritha iih?
Kounti meta'awid inni asma'a wa afawit
Bas elmarra di albi ha dous aalih

Ghandir li frasi, easy n'aich bla bik
Khalik nasi, liyam dor w twarik
Ghandir li frasi, easy n'aich bla bik
Khalik nasi, khalik nasi

Ensay, ensay
Bali chi nhar a'araftini, ensay
Yallah bye ou bye
Ana machi lik, yallah bye
Ensay (ensay), ensay (ensay)
Bali chi nhar a'araftini, ensay
Yallah bye ou bye
Ana machi lik, yallah bye





Ensi enik chiftini w a'araftini w t'abilna
Ala fikra nasy ismek wilyoum eli fih tkalimna
Law rohti oultilhoum enni kount fiyoum habibek
Mahadich haysadaék, kollou yimchi weysibek
Salam mouch hasalim, kalam mouch hatkalim
Bitila'abi a'ala min? el'oustoura w lema'allim
Kimmat elghaba'a innik tiftekri innik fi bali
Wala fkhayali, men el'akher...

Ensay, ensay
Bali chi nhar a'araftini, ensay
Yallah bye ou bye
Ana machi lik, yallah bye

(el'oustoura w lema'allim)

Ensay, ensay
Bali chi nhar a'araftini, ensay




Yallah bye ou bye
Ana machi lik, yallah bye

Ensay (ensay), ensay (ensay)
Bali chi nhar a'araftini, ensay
Yallah bye ou bye
Ana machi lik, yallah bye

Bla bik ana a'ayech hyati kima bghit, ghir siry wkhelini
Niveau dyali machi dyalek sa'ib tkouni bhali validé
Bhali validé
Bhali validé
Matestenaynich nkoun ma'ak hit amarni dart li bghiti

Ah dart li bghiti yey




Dart li bghiti yey

Di haga tgin, tgin
Lil, nahar bi tzin tzin
Ana harmi telefoun, wasibha tren tren tren
Di haga tgin, tgin
Lil, nahar bi tzin tzin
Ana harmi telefoun, wasibha tren tren tren

Di haga tgin, tgin
Lil, nahar bi tzin tzin
Ana harmi telefoun, wasibha tren tren tren
Di haga tgin, tgin
Lil, nahar bi tzin tzin
Ana harmi telefoun...

Khalik nasi






Ensay (ensay), ensay (ensay)
Bali chi nhar a'araftini, ensay
Yallah bye ou bye
Ana machi lik, yallah bye

Ensay (ensay), ensay (ensay)
Bali chi nhar a'araftini, ensay
Yallah bye ou bye
Ana machi lik, yallah bye

(el'oustoura w lema'allim) 







",0
 saad lamjarred, adda elkalam,"Chaklou mech mawdoue bassit
Fih ghadr w fi hwarat
Da na bas'har bissa'aat kouli da b'yehsal awam
Hassis inni kida btadit ab'aa roumansi w daeif
Leh noumi ba'aa khafif kounti lamma banam banam




 
Chaklou mech mawdoue bassit
Fih ghadr w fi hwarat
Da na bas'har bissa'aat kouli da b'yehsal awam
Hassis inni kida btadit ab'aa roumansi w daeif
Leh noumi ba'aa khafif kounti lamma banam banam

El gamal adda el kalam
Edhakili w takhdi kam
Adfae el omr elli gay bass we trodi essalam
Mech baabwar sadda'ini
Hessi bia kalimini
Hatta law mawdoue gharib
Elli talbou tifhamini
Ana wallah ibni nas mich baakess mel assas

Ey ibni nas, ey ibni nas
Eyy, yallah




 
Hat'oulili da intifae
Ha yemkin testaghrabini
Ew'ea temchi w tsibini abli makhalas kalam
Ana chouftik albi dae
We da aslan mech tabiei
Fi zahma law tediei
Ouli aala albi salam
El gamal adda el kalam
Edhakili w takhdi kam
Adfae el omr elli gay bass we trodi essalam
Mech baabwar sadda'ini
Hessi bia kalimini
Hatta law mawdoue gharib
Elli talbou tifhamini
Ana wallah ibni nas mich baakess mel assas

El gamal adda el kalam




Edhakili w takhdi kam
Adfae el omr elli gay bass we trodi essalam
Mech baabwar sadda'ini
Hessi bia kalimini
Hatta law mawdoue gharib
Elli talbou tifhamini
Ana wallah ibni nas mich baakess mel assas








				",0
 saad lamjarred, lemen nechki,"لمن نشكي حالي
يالي شغلتي بالي
نبات سهران ليالي
نفكر فيك
نجوم الليل والقمر يحكو ما بيا




حتى قلبي راح يهضر يشكي عليا
لاموني عليك وقالولي ننساك
كندير ننساك وعقلي راح معاك
نعذر قلبي هو الى هواك
الوقت يطول في بعادك ويصعاب عليا
ويوم نلقاك وجودك يشفي ما بيا
مازالني طامع حبك مازال
عذبني غرامك غنيتو موال
خايف البعاد يخلي حالي حال







",0
 saad lamjarred, ya ayouni,"Wektab 3liya lahwa 
Wektabet dmo3o 
W meli jit na7kem 9albi 
L9ito wela to3o 
Kiyti ana win nelga sbar yekfini 




Yakhoufi hakda la neb9a mdiya3 snini 

Wektab 3liya lahwa 
Wektabet dmo3o 
W meli jit na7kem 9albi 
L9ito wela to3o 
Kiyti ana win nelga sbar yekfini 
Yakhoufi hakda la neb9a mdiya3 snini 

Hadi ghalta ya galbi 
Khalat kolchi bayen 
3rafna biha ya galbi 
Lehbib meli khayen

W ya 3youni Lala lala 
Tebki 3lihom Lala lala 
Ra7o khalihom Lala lala  
Ghalya dmou3ek ya 3youni 




 
W ya 3youni Lala lala 
Tebki 3lihom Lala lala 
Ra7o khalihom Lala lala  
Ghalya dmou3ek ya 3youni 

Wektab 3liya lahwa 
Wektabet dmo3o 
Wmeli jit nahkem galbi 
Wela to3o

Kano aghla enas bgalbi 
Wala nwit ykhounou 
Ah 3ali t7abo ya galbi wybedel lounou 
Ma nsama7hom wela tebred enar bjoufi 
Wgha nakhod ha9i ya liyam 
Wmazal tchoufi 





W kano aghla enas bgalbi 
Wala nwit ykhounou 
Ah 3ali t7abo ya galbi wybedel lounou 
Ma nsama7hom wela tebred enar bjoufi 
Wgha nakhod ha9i ya liyam 
Wmazal tchoufi 

Hadi ghalta ya galbi 
Khalat kolchi bayen 
3rafna biha ya galbi 
Le7bib meli khayen

W ya 3youni Lala lala 
Tebki 3lihom Lala lala 
Ra7o khalihom Lala lala  
Ghalya dmou3ek ya 3youni 

W ya 3youni Lala lala 




Tebki 3lihom Lala lala 
Ra7o khalihom Lala lala  
Ghalya dmou3ek ya 3youni 

3la niyti kont w ma nedrich beli mestenini
Kan ya7sab liya ghadi n3ich far7at snini
May7as bkasrat lmadloum ghir li b7ali 
Wrabi ywerini fiki youm
Yali dertek ghali 

Wektab 3liya lahwa 
Wektabet dmo3o 
Wmeli jit na7kem 9albi 
L9ito wela to3o 
Kiyti ana win nelga sbar yekfini 
Yakhoufi hakda la neb9a mdiya3 snini 

Mdiya3 snini 





Mdiya3 snini 








",0
 saad lamjarred, wana maak,"وأنا معاك كل يوم نعيشو عيد
مرتاح وفرحان وأنت حدايا
فهواك جنوني بيك يزيد
يانموت يانعيش وأنت معايا





وأنا معاك كل يوم نعيشو عيد
مرتاح وفرحان وأنت حدايا
فهواك جنوني بيك يزيد
يانموت يانعيش وأنت معايا

عشقت غرام البارح يوم كنت أحلامي
ومعاك اليوم فايح حلمي قدامي

عشقت غرام البارح يوم كنت أحلامي
ومعاك اليوم فايح حلمي قدامي

آآآآه على هواك

وأنا معاك




 
وأنا معاك كل يوم نعيشو عيد
مرتاح وفرحان وأنت حدايا

فهواك جنوني بيك يزيد
يانموت يانعيش وأنت معايا

واليوم حداك عمر جديد
واليوم حداك عمر جديد
وعد مني والله

عمري ماننساك
وان شاء الله معاك نمشي لبعيد

وان شاء الله معاك نمشي لبعيد





نحكي لحفادي شحال نهواك

نهواك

وأنا معاك كل يوم نعيشو عيد

مرتاح وفرحان وأنت حدايا
فهواك جنوني بيك يزيد

يانموت يانعيش وأنت معايا

وأنا معاك








				",0
 saad lamjarred, lghadi wehdou,"الغزالة لي سارحة فالغابة .. واه ألالة
الغزالة لي سارحة فالغابة فين غابو عليك الصيادة




 
واا لي ما عندو المال ما يتزوج وااه الالة
واا لي ما عندو المال ما يتزوج ما يجيب بنات الرجالة

وا الغزالة لي سارحة فالغابة .. واه ألالة
و الغزالة لي سارحة فالغابة فين غابو عليك الصيادة

وا الكلام لي قلت أنا وياك واااه ألالة
الكلام لي قلت انا وياك أش قالو فيه الدواية

وا الغزالة لي سارحة فالغابة .. واه ألالة




و الغزالة لي سارحة فالغابة فين غابو عليك الصيادة

أنا والزين ما نتفرقوش وا ه يا لالة
ويلا الفراق جا جابو مولانا

وا الغزالة لي سارحة فالغابة .. واه ألالة
و الغزالة لي سارحة فالغابة فين غابو عليك الصيادة

الزين امازيغ ايرا لقلبي واه ايا مركي
انت نوكان ايلان تيكي واه ايا وينوي

وا الغزالة لي سارحة فالغابة .. واه ألالة




و الغزالة لي سارحة فالغابة في غابو عليك الصيادة

يهديك الله أ لغادي وحدو واه أ لالة
يهديك الله أ لغادي وحدو ياك أنا نمشي بهوايا

وا الغزالة لي سارحة فالغابة .. واه ألالة
و الغزالة لي سارحة فالغابة في غابو عليك الصيادة

للا نزهة يا ضي عيني واه ا للا
للا نزهة يا ميمتي و للي بغيتيه نديرو غير رضاي عليا





وا هيا مول الحكايم
سيدي عبد الله بلحساين

وا ضيف الله أ مول المراح
هاكا حمادا تال الصباح

وا هاكا حمادا تال الصباح
وا هاكا حمادا تال الصباح









				",0
 saad lamjarred, mal hbibi malou,"ومال حبيبي مالو؟
قولولي ويش جرالو
البارح كان يبغيني
واليوم تغير حالو
كان ديما فيا يسول




وغيابو عليا طول
لازم شي حد فبالو
والله عليه ما نعول

يا ولفي حرام عليك
هجرتيني بلا سبة
والعشرة هانت عليك
وجرحتي المحبة
والله حرام عليك
ضيعت معاك زماني
خسرتي اللي كان يبغيك
وجريتي للبراني
ماشي نادم حيت بغيتك
ربي عالم بللي بيا
وحدو قادر ينسّيني فيك
ويطفي نار الكية

ومال حبيبي مالو؟




قولولي ويش جرالو
البارح كان يبغيني
واليوم تغير حالو
كان ديما فيا يسول
وغيابو عليا طول
لازم شي حد فبالو
والله عليه ما نعول

حبيب قلبي أنا
نعيشو في الهنا
صدقني ولا فرقني
ونغيرو فالحالة
هجرني وخلاني
يمكن نساني اووه
لا دابا ما نافع تعاني
وا شتي؟

مال حبيبي مال حبيبي




شوفولي مالو
تبدل وبدل وقولولي مالو
مال حبيبي مال حبيبي
شوفولي مالو
تبدل وبدل وقولولي مالو

ومال حبيبي مالو؟
قولولي ويش جرالو
البارح كان يبغيني
واليوم تغير حالو
كان ديما فيا يسول
وغيابو عليا طول
لازم شي حد فبالو
والله عليه ما نعول

صافي؟ سمحتي فيا
طاوعك قلبك نساني
ما درتي حساب ليا




يبقى قلبي وحداني
والأيام تدور تدور
وهترجع لأحضاني
واخا تقطع البحور
لازم ما تجيني تاني

ماشي نادم حيت بغيتك
ربي عالم بللي بيا
وحدو قادر ينسيني فيك
ويطفي نار الكية

ومال حبيبي مالو؟
قولولي ويش جرالو
البارح كان يبغيني
واليوم تغير حالو
كان ديما فيا يسول
وغيابو عليا طول
لازم شي حد فبالو





والله عليه ما نعول
وا شتي؟







",0
 saad lamjarred, enty hayaty,"انتي حياتي
Falei contigo eu assumo
Tu foste embora eu entendo
Mas ficou tanto amor
Estou meio sem planos




زعلانه قافلة الباب
عايزة كام جواب والله أنا قلبى تاب يا حبيبى

Mmmmm ma baby yea, ma baby yea ... ياحبيبى

لسه فاكرانى
ولا ناسيانى
Please tell me now
زعلانه زعلانه زعلانه ليه
Onde tu estás
Preciso de ouvir
Para onde tu fores
Yalé yalé yalé lé bô

Estou com receio que me falem que tens outro
Tu sabes que não vou aguentar se souber que mais alguém se colou a ti




 
أنا بحسد العيون اللى تشوفك كل يوم
خلاص ده مالوش لزوم
You made me feel like home

هلاقيه بكره هلاقيه
ولو حتى نظره فى عينيه
آه فى عينيه يا ليلى

Todos falam de ti
De como foi um bobo
Que te perdi por tão pouco
Wêlê wêlê
You make me wanna wele wele wel

لسه فاكرانى
ولا ناسيانى




Please tell me now
زعلانه زعلانه زعلانه ليه
Onde tu estás
Preciso de ouvir
Para onde tu fores
Yalé yalé yalé lé bô

Fidju fêmea
Si un ca odjau aoz
Dadan cuma cum podi oiau
Sodade na matam na matam demas

آه أرجوكى إسمعينى please
I know you felt the pain
I'll take it all away
If you give me a chance yea
حطى إيدك فى إيديا ده أنتى هى الدنيا




 
É tão chato ouvir
De como fui um bobo
Que te perdi por tão pouco
Wêlê wêlê wê
You make wanna wele wele wele

لسه فاكرانى
ولا ناسيانى
Please tell me now
زعلانه زعلانه زعلانه ليه
Onde tu estás
Preciso de ouvir
I need you here
You're all I think of ya leili ya leili ...

إنتى حياتى
إنتى حياتى





وعقلى وروحى فيك
عقلى وروحى فيك

إنتى إنتى حياتى
إنتى حياتى
وعقلى وروحى فيك
عقلى وروحى فيك

زعلانه زعلانه زعلانه ليه

إنتى حياتى
إنتى حياتى
وعقلى وروحى فيك
عقلى وروحى فيك

إنتى إنتى حياتى
إنتى حياتى
وعقلى وروحى فيك




عقلى وروحى فيك










				",0
 saad lamjarred, lemima,"يا لميمة وليدك لاباس

يا لميمة خليك من حديث الناس

يا لِمِيمَةٍ وَلِيدَكَ لاباس




 
يا لِمِيمَةِ خَلِيِّكَ مِنْ حَديثِ النَّاسِ

شحال كنت تجي في بالي وحشك يغلب عليا

نبكي و نقول و انا مالي أش داني لهاد جريا

مكتوب لغربا هذا مكتاب الله علينا

لما تبكيش يا ميمتي دموعك غالين عليا

هااا يالميمة هااا يالميمة





نهار نجي و رسي مرفوع و قلبي طير بالفرحة

تقولي ولدي رجع لي و عمر الدار عليا

نشوف الحوما و صحابي وقتاش اتزال لهم عليا

يا أمي مابغيت ولو غير رضاك انتيا

هااا يالميمة هااا يالميمة

شحال كَنَّتْ تجي فِي بَالِي وَحْشِكَ يَغْلِبَ عَلِيَّا





نَبْكَِيٌّ و نُقُولٌ و أَنَامَالُي أش دَانِي لِهَادِّ جُرّيا

مَكْتُوبُ لِغَرِبَا هَذَا مِكْتاب اللَّهِ عَلَينَا

لَمَّاتبكيش يا مِيمَتِي دُموعِكَ غَالَيْنَ عَلِيًّا

هااا يالميمة هااا يالميمة








				",0
 saad lamjarred, el hala,"El 7ala2 eli 3amil 2ala2 
O3zourou albi law itsara2
Ba7lif w ba2oul 3a l mala2
Eli ysibha da ghaltan 





Di 3aliha lafat silsila 
W rouj 3amil mouchkila 
Ya3ni ya bakht li chtara 
Assl li chtara kasban 

El 7ala2 eli 3amil 2ala2 
O3zourou albi law itsara2
Ba7lif w ba2oul 3a l mala2
Eli ysibha da ghaltan 

Di 3aliha lafat silsila 
W rouj 3amil mouchkila 
Ya3ni ya bakht li chtara 
Assl li chtara kasban 

Bi lward di m3atara 
La2 marsouma bel mastara 
Wi l khatwa di mitmakhtara 




Timchi w ta3mel alaban 

Bi lward di m3atara 
La2 marsouma bel mastara 
Wi l khatwa di mitmakhtara 
Timchi w ta3mel alaban 

Wi cha3r 3amil moun7ana 
3al khasr nazil ma tana 
Ana chouft kida w mout ana 
Ana kida bawsif manikan 

El chanta l mit3ala2a 
3la kitfik tinzil ba2a 
Nitkalim lih m2ala2a 
Wa3dini f ay makan 

El chanta l mit3ala2a 




3la kitfik tinzil ba2a 
Nitkalim lih m2ala2a 
Wa3dini f ay makan 

El 7ala2 eli 3amil 2ala2 
O3zourou albi law itsara2
Ba7lif w ba2oul 3a l mala2
Eli ysibha da ghaltan 

Di 3aliha lafat silsila 
W rouj 3amil mouchkila 
Ya3ni ya bakht li chtara 
Assl li chtara kasban 








",0
 saad lamjarred, casablanca,"Elle est quelque part
Je la trouverai
Il n’est jamais trop tard
Oh...
Comme un diamant noir




Pour le monde entier
Elle sera à part

M’en aller à Punta cana
M’en aller à Casablanca
M’en aller à Barcelona
M’en aller à ...

Ma chérie si tu savais
Ma vie c’est la Bohême
Pars avec moi si tu m’aimes
Je dois m’en aller
Te dire au revoir
Mais sans te faire de la peine

Ah ah ah
On verra bien où la vie nous mène
Ah ah ah




Si oui ou non tu seras ma reine

Pourquoi tu es si belle
Pourquoi tu m’ensorcelles
Avant de me brûler les ailes
Mais dis moi comment tu t’appelles
Oh
Mais pourquoi tu es si belle
Pourquoi tu m’ensorcelles
Avant de me brûler les ailes
Au moins dis moi comment tu t’appelles

M’en aller à Punta cana
M’en aller à Casablanca
M’en aller à Barcelona
M’en aller à ...

Je ne sais pas qui tu es




Mais les étoiles
M’ont mené à toi
Et je dois mettre les voiles
Je suis désolé
Ne m’en veux pas
Je ne suis qu’un homme
Qui jamais ne se dévoile

Ah ah ah
On verra bien où la vie nous mène
Ah ah ah
Si oui ou non tu seras ma reine

Pourquoi tu es si belle
Pourquoi tu m’ensorcelles
Avant de me brûler les ailes
Mais dis moi comment tu t’appelles
Oh




Mais pourquoi tu es si belle
Pourquoi tu m’ensorcelles
Avant de me brûler les ailes
Au moins dis moi comment tu t’appelles

Oh ma Bella
Ne m’attends pas
Oh ma Bella
Tu as le choix
Oh...
Oh ma Bella
Ne m’attends pas
Oh ma Bella
Ne m’en veux pas

M’en aller à Punta cana
M’en aller à Casablanca
M’en aller à Barcelona





M’en aller à ...








				",0
 saad lamjarred, ma ahla lmakan,"ما احلى المكان
‏‎ يا و إلا كان فيه ميمتي
‏‎يحلى و يزيان
شكون غيرها يعرف سراري





ما احلى المكان
‏‎ يا و إلا كان فيه ميمتي
يحلى و يزيان
شكون غيرها يعرف قيمتي
‎
نوصف ونخاف مانوفي
‎لي عطيتو ليك ما يكفي
‎ضحكة منك او ننفي
‎انا حزاني فهاد الدنيا

‎‎نورك فكاع البيوت
‎نتي لي جامعة الخوت
‎اااه يا الحنينة

‎رضاك مضوي دربي
‎شوفة فيك ونتي جنبي
‎تغنيني علا مال الدنيا
‎




‎احساس قوي جامعنا
‎حب كبير و مايفنا
‎بيك عرفت انا علاش هنا
يا ‎سباب وجودي فالدنيا

‎بحضنك الدافي ضميني
‎نسيني فهواس اليام
‎حكيلي و زيدي حكيلي
‎كلامك ماشي كي الكلام

‎‎نورك فكاع البيوت
‎نتي لي جامعة الخوت
‎اااه يا الحنينة

‎رضاك مضوي دربي
‎شوفة فيك ونتي جنبي
‎تغنيني علا مال الدنيا








				",0
